Date,ENEL_logret,NKT_logret,VWS_logret,brent_price_logret,utilities_close_logret,us10y
2014-12-09,-0.057175,0.028645,0.049341,-0.057654,0.033976,0.131472
2014-12-10,-0.062379,0.002190,0.049126,-0.064816,0.043094,0.155172
2014-12-11,0.000583,-0.004005,0.046965,-0.043792,0.050963,-0.022100
2014-12-12,-0.031876,-0.004914,0.018358,-0.077685,0.057941,0.143083
2014-12-15,-0.062487,0.001824,-0.007660,-0.095416,0.028730,0.142683
2014-12-16,-0.031727,0.027519,-0.051480,-0.093819,0.036766,0.141883
2014-12-17,-0.053633,-0.002670,-0.069968,-0.097861,0.031187,0.142283
2014-12-18,-0.018159,0.015505,-0.006027,-0.112227,0.025828,0.141783
2014-12-19,0.001046,0.020801,0.007327,-0.101953,0.005169,0.141983
2014-12-22,-0.034202,0.018386,0.008182,-0.082371,0.026696,0.141383
2014-12-23,-0.002201,0.005728,-0.011947,-0.072887,0.031916,0.141083
2014-12-29,-0.034159,0.015845,-0.025830,-0.097510,0.022094,0.141183
2014-12-30,-0.050076,0.020399,-0.038966,-0.116016,0.029756,0.140583
2015-01-02,-0.052922,0.042737,0.087692,-0.173379,0.031762,0.117783
2015-01-05,-0.110001,0.052443,0.088273,-0.171991,0.013271,0.269372
2015-01-06,-0.095571,0.037690,0.092983,-0.176965,0.035185,0.269472
2015-01-07,-0.103353,0.012734,0.037545,-0.157831,0.048997,0.269972
2015-01-08,-0.040382,0.026792,0.047321,-0.190852,0.020977,0.270172
2015-01-09,-0.134975,-0.002129,-0.010114,-0.188187,0.043484,0.269672
2015-01-12,-0.132806,-0.015271,-0.002554,-0.237062,0.046353,0.269972
2015-01-13,-0.062948,0.027700,0.026645,-0.226315,0.005715,0.270172
2015-01-14,-0.077387,0.012264,-0.010848,-0.245507,-0.002455,0.269172
2015-01-15,-0.040601,0.018130,0.002206,-0.233864,0.015370,0.292572
2015-01-16,0.027250,0.038116,0.024033,-0.231572,-0.007517,0.128089
2015-01-20,0.068512,0.021325,0.017179,-0.238059,-0.031435,0.127389
2015-01-21,0.050793,0.045261,0.088513,-0.243317,-0.012922,0.127889
2015-01-22,0.098173,0.043062,0.116604,-0.255114,-0.021706,0.127189
2015-01-23,0.081046,0.030113,0.055769,-0.272217,0.003464,0.128089
2015-01-26,0.108575,0.051471,0.095606,-0.276365,0.012329,0.128489
2015-01-27,0.085641,0.003488,0.038908,-0.306203,-0.002945,0.128189
2015-01-28,0.059319,0.010900,0.070224,-0.298542,0.006740,0.128489
2015-01-29,0.087912,-0.004065,0.069386,-0.293799,-0.001600,0.284839
2015-01-30,0.085849,-0.000652,0.099276,-0.330674,-0.021350,0.284839
2015-02-02,0.078722,-0.038444,0.045824,-0.260919,-0.032624,0.285539
2015-02-03,0.173562,-0.007334,0.093326,-0.327454,-0.066508,0.281372
2015-02-04,0.151734,-0.019150,0.061375,-0.350089,-0.071819,0.280172
2015-02-05,0.121581,0.066094,0.137659,-0.357307,-0.075845,0.278872
2015-02-06,0.074384,0.051730,0.136407,-0.325984,-0.042727,0.278672
2015-02-09,0.099123,0.051674,0.163745,-0.355835,-0.081252,0.279772
2015-02-10,0.112489,0.046294,0.167680,-0.336168,-0.081127,0.278672
2015-02-11,0.091931,0.020944,0.072867,-0.381773,-0.034985,0.278572
2015-02-12,0.114194,0.067234,0.123890,-0.323481,-0.055083,0.278872
2015-02-13,0.079893,0.063409,0.111342,-0.289307,-0.029117,0.278772
2015-02-16,0.042334,0.067600,0.110666,-0.263597,0.010353,0.277772
2015-02-17,0.028836,0.077397,0.121251,-0.273111,0.050182,0.260372
2015-02-18,0.020673,0.088645,0.151824,-0.259216,0.030889,0.386561
2015-02-19,-0.000000,0.091975,0.116697,-0.261078,0.052073,0.387561
2015-02-20,-0.007566,0.089873,0.115424,-0.230782,0.033502,0.387161
2015-02-23,-0.027331,0.075279,0.074218,-0.245170,0.043562,0.385461
2015-02-24,0.009901,0.099728,0.102809,-0.225247,0.040467,0.386161
2015-02-25,0.012423,0.112983,0.083773,-0.227087,0.039332,0.386161
2015-02-26,-0.002478,0.123432,0.094559,-0.216211,0.045036,-0.770089
2015-02-27,0.027062,0.164519,0.083815,-0.157033,0.047912,-0.769389
2015-03-02,0.049271,0.169647,0.066865,-0.067987,0.047236,-0.748589
